;data_pedido;hora_pedido;tipo_entrega;valor_borda;valor_refrigerante;valor_total;tempo;mes;dia_semana;horario_pico;interval_pico;tempo_minutos;rank_quartil;valor_pizza;rank_quartil_valor_total;rank_quartil_valor_total_pizza
0;2011-10-07;18:45:00;Buscar;Borda N;S;32.0;00:30:00;10;sexta;18;baixo;30;min: 24 -- 34;32.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
1;2011-10-07;18:47:00;Buscar;Borda N;S;30.0;00:43:00;10;sexta;18;baixo;43;min: 35 -- 44;30.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
2;2011-10-07;18:49:00;Buscar;Borda N;S;27.0;00:42:00;10;sexta;18;baixo;42;min: 35 -- 44;27.0;vl_total: 22 -- 28;vl_pizza: 27 -- 32
3;2011-10-07;18:50:00;Buscar;Borda N;S;30.0;00:40:00;10;sexta;18;baixo;40;min: 35 -- 44;30.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
4;2011-10-07;18:52:00;Buscar;Borda N;S;30.0;00:23:00;10;sexta;18;baixo;23;min: 01 -- 23;30.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
5;2011-10-07;18:57:00;Entrega;Borda N;S;30.0;00:38:00;10;sexta;18;baixo;38;min: 35 -- 44;25.5;vl_total: 29 -- 35;vl_pizza: 22 -- 26
6;2011-10-07;18:59:00;Buscar;Borda S;S;30.5;00:21:00;10;sexta;18;baixo;21;min: 01 -- 23;28.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
7;2011-10-07;20:00:00;Entrega;Borda N;S;35.0;00:32:00;10;sexta;20;alto;32;min: 24 -- 34;30.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
8;2011-10-07;20:05:00;Buscar;Borda N;S;23.0;00:35:00;10;sexta;20;alto;35;min: 35 -- 44;23.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
9;2011-10-07;20:10:00;Entrega;Borda N;S;25.5;00:55:00;10;sexta;20;alto;55;min: > 45;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
10;2011-10-07;20:12:00;Buscar;Borda N;S;19.5;00:41:00;10;sexta;20;alto;41;min: 35 -- 44;19.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
11;2011-10-07;20:15:00;Entrega;Borda N;S;25.5;00:50:00;10;sexta;20;alto;50;min: > 45;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
12;2011-10-07;20:15:00;Entrega;Borda N;S;20.5;00:50:00;10;sexta;20;alto;50;min: > 45;20.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
13;2011-10-07;20:25:00;Entrega;Borda N;S;34.5;00:20:00;10;sexta;20;alto;20;min: 01 -- 23;34.5;vl_total: 29 -- 35;vl_pizza: > 33
14;2011-10-07;20:35:00;Entrega;Borda N;S;17.5;00:50:00;10;sexta;20;alto;50;min: > 45;17.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
15;2011-10-07;20:38:00;Buscar;Borda N;S;27.0;00:42:00;10;sexta;20;alto;42;min: 35 -- 44;27.0;vl_total: 22 -- 28;vl_pizza: 27 -- 32
16;2011-10-07;20:58:00;Entrega;Borda N;S;25.5;00:50:00;10;sexta;20;alto;50;min: > 45;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
17;2011-10-07;21:17:00;Buscar;Borda N;S;31.0;00:32:00;10;sexta;21;alto;32;min: 24 -- 34;31.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
18;2011-10-07;21:27:00;Entrega;Borda S;S;37.0;00:35:00;10;sexta;21;alto;35;min: 35 -- 44;34.5;vl_total: > 35;vl_pizza: > 33
19;2011-10-07;21:31:00;Buscar;Borda N;S;27.0;00:39:00;10;sexta;21;alto;39;min: 35 -- 44;27.0;vl_total: 22 -- 28;vl_pizza: 27 -- 32
20;2011-10-07;22:05:00;Entrega;Borda N;S;25.5;00:31:00;10;sexta;22;medio;31;min: 24 -- 34;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
21;2011-10-07;22:20:00;Buscar;Borda N;S;28.0;00:28:00;10;sexta;22;medio;28;min: 24 -- 34;28.0;vl_total: 22 -- 28;vl_pizza: 27 -- 32
22;2011-10-07;22:37:00;Buscar;Borda N;S;12.0;00:23:00;10;sexta;22;medio;23;min: 01 -- 23;12.0;vl_total:01 -- 21;vl_pizza: 01 -- 21
23;2011-10-08;18:10:00;Entrega;Borda N;S;32.5;00:20:00;10;sabado;18;baixo;20;min: 01 -- 23;32.5;vl_total: 29 -- 35;vl_pizza: > 33
24;2011-10-08;18:13:00;Entrega;Borda N;S;20.5;00:29:00;10;sabado;18;baixo;29;min: 24 -- 34;20.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
25;2011-10-08;18:15:00;Entrega;Borda N;S;19.5;00:35:00;10;sabado;18;baixo;35;min: 35 -- 44;19.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
26;2011-10-08;18:48:00;Buscar;Borda S;S;32.5;00:38:00;10;sabado;18;baixo;38;min: 35 -- 44;30.0;vl_total: 29 -- 35;vl_pizza: 27 -- 32
27;2011-10-08;18:55:00;Buscar;Borda N;S;22.0;00:20:00;10;sabado;18;baixo;20;min: 01 -- 23;22.0;vl_total: 22 -- 28;vl_pizza: 22 -- 26
28;2011-10-08;19:25:00;Buscar;Borda N;S;23.5;00:25:00;10;sabado;19;medio;25;min: 24 -- 34;19.0;vl_total: 22 -- 28;vl_pizza: 01 -- 21
29;2011-10-08;19:30:00;Entrega;Borda N;S;20.5;00:33:00;10;sabado;19;medio;33;min: 24 -- 34;20.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
30;2011-10-08;19:35:00;Entrega;Borda N;S;34.0;00:35:00;10;sabado;19;medio;35;min: 35 -- 44;29.5;vl_total: 29 -- 35;vl_pizza: 27 -- 32
31;2011-10-08;20:07:00;Entrega;Borda N;S;28.5;00:28:00;10;sabado;20;alto;28;min: 24 -- 34;28.5;vl_total: > 35;vl_pizza: 27 -- 32
32;2011-10-08;20:07:00;Buscar;Borda N;S;28.0;00:28:00;10;sabado;20;alto;28;min: 24 -- 34;28.0;vl_total: 22 -- 28;vl_pizza: 27 -- 32
33;2011-10-08;20:14:00;Entrega;Borda N;S;25.5;00:36:00;10;sabado;20;alto;36;min: 35 -- 44;25.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
34;2011-10-08;20:20:00;Entrega;Borda N;S;21.5;00:25:00;10;sabado;20;alto;25;min: 24 -- 34;21.5;vl_total:01 -- 21;vl_pizza: 01 -- 21
35;2011-10-08;20:20:00;Entrega;Borda N;S;33.5;00:40:00;10;sabado;20;alto;40;min: 35 -- 44;33.5;vl_total: 29 -- 35;vl_pizza: > 33
36;2011-10-08;20:23:00;Entrega;Borda N;S;32.5;00:37:00;10;sabado;20;alto;37;min: 35 -- 44;32.5;vl_total: 29 -- 35;vl_pizza: > 33
37;2011-10-08;20:25:00;Entrega;Borda N;S;39.0;00:49:00;10;sabado;20;alto;49;min: > 45;34.5;vl_total: > 35;vl_pizza: > 33
38;2011-10-08;20:44:00;Entrega;Borda N;S;23.5;00:40:00;10;sabado;20;alto;40;min: 35 -- 44;23.5;vl_total: 22 -- 28;vl_pizza: 22 -- 26
